ID;Character;FR;EN;Sound;Anim;Player Choice ?;Timer ? (en sec);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PLAYER;Player;Pas ce soir aventuriers... trouvez un autre divertissement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MED_FRUSTRATED;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DIY_FRUSTRATED;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SYR_HYPE;Syrdon;C'est à moi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PLAYER;Player;Syrdon se mit à chanter pendant plusieurs minutes, essayant tant bien que mal de divertir et rendre heureux ses compagnons d'aventure. Sa voix douce et apaisante réussit malgré tout à combler les aventuriers.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MED_YAWN;Medhiv;Merci Syrdon, mais je crois que je vais aller me coucher maintenant.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MED_COMEOUT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DIY_HAPPY;Diya;Au moins le lot de consolation en vallait la peine, merci Syrdon !;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DIY_COMEOUT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SYR_BOTHER;Syrdon;Ce n'est rien voyons... Je vais me coucher aussi.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SYR_COMEOUT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PLAYER;Player;Le lendemain ...;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DIY_COMEIN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PLAYER;Player;Eh bien, vous avez l'aire très heureuse ce matin.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DIY_HAPPY;Diya;J'ai une idée durant la nuit. Je dois à tout prix prouver à Medhiv que je suis meilleure que lui !;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PLAYER;Player;J'ai peut-être une idée... Un dragon rôde dans Frostfell en ce moment, il y a une prime sur sa tête !;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DIY_HYPE;Diya;N'en dite pas plus je fonce ! Je vais m'en débarrasser toute seule !;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DIY_COMEOUT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SYR_COMEIN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SYR_YAWN;Syrdon;Vous n'auriez pas vu Diya ? Elle se lève toujours avant nous mais je ne la vois pas...;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
