;FR;;;;;EN;;;;Feuille;;;;Choix si timer <= 0
1;Interroger Diya sur sa fatigue;Servir le groupe en silence;;;;;;;;7;34;;;
2;Demander à Syrdon se qu'il a sur le coeur;Se taire;Demander à Syrdon pourquoi l'ambiance est si spéciale;;;;;;;3;4;;;
3;Se taire;Demander à Diya et au Syrdon leur avis;La gloire et l'honneur;;;;;;;3;5;;;
4;Lui demander d'aventage;La féliciter;;;;;;;;8;22;;;
5;Se moquer;Lui servir un verre;;;;;;;;9;33;;;
6;S'excuser et servir un verre;Se Moquer et servir un verre;;;;;;;;10;32;;;
7;Défendre Medhiv;Défendre Diya;;;;;;;;11;31;;;
8;Jouer le jeu;Refuser de les servir;;;;;;;;12;15;;;
9;Continuer de les servir;Leur proposer d'aller dormir;;;;;;;;13;14;;;
10;Accepter de jouer;Refuser de les servir;;;;;;;;18;17;;;
11;Ceder au jeu;Refuser pour la dernière fois;;;;;;;;18;19;;;
12;Lui indiquer l'emplacement de Diya;Mentir et laisser Diya affronter le dragon seule;;;;;;;;20;21;;;
13;Lui demander des informations sur le groupe;Lui servir un verre;;;;;;;;23;30;;;
14;Demander plus de détails sur Syrdon;Demander plus de détails sur Medhiv;;;;;;;;24;29;;;
15;Demander plus de détails sur Medhiv;Lui demander ou sont ses camarades;;;;;;;;25;28;;;
16;Ne rien dire;Complimenter le groupe;;;;;;;;26;27;;;
17;Demander au mage ce qu'il s'est passé;Demander au nain ce qu'il s'est passé;;;;;;;;35;40;;;
18;Demander à Diya si elle était là;Demande comme ça s'est fini;;;;;;;;36;39;;;
19;Demander à Medhiv d'arrêter de couper la parole;Féliciter Medivh;;;;;;;;37;38;;;
20;;;;;;;;;;;;;;
21;;;;;;;;;;;;;;
22;;;;;;;;;;;;;;
23;;;;;;;;;;;;;;
24;;;;;;;;;;;;;;
25;;;;;;;;;;;;;;
26;;;;;;;;;;;;;;
